Exercise,Equipment,Exercise Type,Movement Type,Compound/Isolation,Muscle Group,Major Muscle,Minor Muscle,Example,Notes,Modifications,Beginner,Intermediate,Advanced,SL,GVT,Warmup,Light,Heavy
Thruster,Landmine,Weight,Push,Compound,Legs,"Quads,Glutes",Tricep,show_img_Landmine-thrusters-full-body-compound-exercise.jpg (https://dl.airtable.com/7BXbzivxTpS4Uuz7Zbnx_show_img_Landmine-thrusters-full-body-compound-exercise.jpg),,,0,1,1,1,1,1,1,1
Touchdown,Body Weight,Plyo,Push,Compound,Cardio,Cardio,Legs,WtFJBce.gif (https://dl.airtable.com/MTMz4OoeRFaccThM3XKx_WtFJBce.gif),,,1,1,1,0,0,1,1,0
Tricep Dip,"Body Weight,Bench,Dip Bars,Barbell & Rack,Weight Belt",Calisthenics,Push,Compound,Arms,Triceps,"Front Delt,Pecs",Tricep-Dip-on-Bench-g.gif (https://dl.airtable.com/gZTLGaYoTI6P0WwdO2u4_Tricep-Dip-on-Bench-g.gif),Find a chair or platform you can lean on.,"Easier: Legs bent closer to body, Harder: Legs straight farther from body""",1,1,1,0,1,1,1,1
Single Arm/ Double Arm Tricep Kick-Back,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,Triceps-Kickback.jpg (https://dl.airtable.com/tjY0kN2QTBSIoZZCv10k_Triceps-Kickback.jpg),,,0,1,1,0,1,0,1,1
Tricep Overhead Press,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,5.gif (https://dl.airtable.com/Pp7ftUMQe6qzCxJg7iXs_5.gif),,,1,1,1,0,1,0,1,1
Tricep Pull Down,Cables,Weight,Push,Isolation,Arms,Triceps,,how-to-do-teh-cable-pull-down.gif (https://dl.airtable.com/xyyxFbBRlyLaknw11OCz_how-to-do-teh-cable-pull-down.gif),Keep your knees slightly bent as you do this,,1,1,1,0,1,0,1,1
Rings/TRX Mountain Climber,Rings/TRX,Calisthenics,Cardio,Compound,Cardio,Core,"Tricep,Forearms,Quads,Hamstrings",TRX-mountain-climbers.gif (https://dl.airtable.com/JOfDEnjtTPuDxlUodlWI_TRX-mountain-climbers.gif),,,0,1,1,0,0,1,1,0
Rings/TRX Plank,Rings/TRX,Calisthenics,Hold,Compound,Core,Core,,72813ed1a4b64cbc2d206a512f0b93c2.jpeg (https://dl.airtable.com/bWQz7ZlCT7mF3UG399Ep_72813ed1a4b64cbc2d206a512f0b93c2.jpeg),,,0,1,1,0,0,1,1,0
(Rings/TRX) Row / Australian Pullup,"Rings/TRX,Barbell & Rack,Body Weight",Calisthenics,Pull,Compound,Back,"Mid Back,Lats",Lower Back,low-row-43122676__resized.jpg (https://dl.airtable.com/g9xk8vyUTeYddfeZxjJm_low-row-43122676__resized.jpg),,,1,1,1,0,1,1,1,0
Tuck Jump,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,"Quads,Glutes,Calves",Tuck-Jumps.gif (https://dl.airtable.com/Zo0O59geRTataUwhQo2r_Tuck-Jumps.gif),,,1,1,1,0,0,1,1,0
V-Pass,Bosu Ball,Weight,Hold,Isolation,Core,Core,,bb_stability-ball_v-up1.gif (https://dl.airtable.com/EQe3jRjvQ8icCiuXXsXG_bb_stability-ball_v-up1.gif),,,0,0,1,0,0,1,1,1
Wall Slam,Medicine Ball,Plyo,Push,Compound,Core,Core,Cardio,https://3vnqw32fta3x1ysij926ljs3-wpengine.netdna-ssl.com/wp-content/uploads/2016/11/RotationWallSlam.gif?1540502241467,,,1,1,1,0,1,1,1,1
Wall Ball,Medicine Ball,Plyo,Push,Compound,Full Body,Full Body,,WallBallToss.gif (https://dl.airtable.com/tOqEs71CReQ9XSK15MwN_WallBallToss.gif),"Toss the Medicine Ball in the air, or against a solid wall (concrete or brick) if available.","Easier: use a non-weighted football, basketball etc.",1,1,1,0,1,1,1,1
Weighted Machine Situp,"Machine,Plates,Bench",Calisthenics,Pull,Isolation,Core,Core,,b16a06f1-f9cd-4721-b760-292fb1a119d8.gif (https://dl.airtable.com/8NjKMbRUTSetijEFXjk4_b16a06f1-f9cd-4721-b760-292fb1a119d8.gif),,,1,1,1,0,1,1,1,1
Romanian Deadlift,"Barbell,Dumbbells",Weight,Pull,Compound,Legs,Hamstrings,"Upper Back,Mid Back,Traps",https://i.makeagif.com/media/9-29-2015/J4H8p6.gif,,,0,0,1,1,1,1,1,1
Pull Ups,Body Weight,Calisthenics,Pull,Compound,Back,"Lats,Mid Back","Biceps,Rear Delt",https://life-cdn.global.ssl.fastly.net/life/wp-content/uploads/2014/07/Pull-Up.gif,,"Start with Australian pull ups, then raise legs on a platform before transitioning to full form or resistance bands. Weighted Pull Ups for heavy",1,1,1,1,1,1,1,1
Chest Flies,"Cables,Dumbells. Band,TRX/Rings","Weight,Calisthenics",Pull,Isolation,Chest,Pecs,"Biceps,Front Delt",https://www.sparkpeople.com/assets/exercises/Dumbbell-Chest-Flys-on-Ball.gif,,"Cable Variation is done standing, TRX/Rings from a push up position",1,1,1,0,1,1,1,1
Pullovers,"Dumbbells,Cable",Weight,Pull,Compound,"Chest,Back","Pecs,Lats",,https://www.sparkpeople.com/assets/exercises/Dumbbell-Pullovers.gif,,,0,1,1,1,1,1,1,1
Sumo Deadlift,"Barbell,Kettlebell",Weight,Pull,Compound,Legs,Hamstrings,"Upper Back,Mid Back,Traps",http://assets.menshealth.co.uk/main/assets/sumo.gif?mtime=1436974968,,,0,1,1,1,1,1,1,1
Rear Delt Flies,"Plates,Dumbbells,Cables",Weight,Pull,Isolation,Shoulders,Rear Delt,,https://thumbs.gfycat.com/YearlyRaggedAfricanmolesnake-small.gif,,Use Cables for rear delt crossovers,1,1,1,0,1,0,1,1
Face Pulls,Cables,Weight,Pull,Isolation,Shoulders,Rear Delt,,https://musclewiki.org/media/uploads/Facepull-Front-032016.gif,,,1,1,1,0,1,0,1,1
Lunges,"Barbell,Dumbbells,Body Weight","Weight,Calisthenics",Push,Compound,Legs,Quads,"Glutes,Calves",http://womensrunninguk.co.uk/wp-content/uploads/2014/05/weighted-alternating-lunges.gif,,,1,1,1,1,1,1,1,1
Leg Extensions,Machine,Weight,Push,Isolation,Legs,Quads,,https://i.gifer.com/Ki0b.gif,,,1,1,1,0,1,1,1,1
Dish,"Body Weight,Plate",Calisthenics,Hold,Compound,Core,Core,,https://i.ytimg.com/vi/KrXT9Ddtty8/maxresdefault.jpg,,Hold weights in hands/feet to make harder,1,1,1,0,0,1,1,1
Seated Cable Rows,Machine,Weight,Pull,Compound,Back,Mid Back,Biceps,https://thumbs.gfycat.com/LightHotBrontosaurus-size_restricted.gif,,,1,1,1,0,1,1,1,1
Forearm Curls,"Plates,Dumbbells,Barbell",Weight,Pull,Isolation,Arms,Forearms,,https://www.sparkpeople.com/assets/exercises/Dumbbell-Wrist-Curls.gif,,,1,1,1,0,1,1,1,1
Upright Rows,"Barbell,Dumbbells,Cables,Kettlebells",Weight,Pull,Compound,"Back,Shoulders","Mid Delt,Mid Back,Traps",Upper Back,https://i.makeagif.com/media/4-26-2015/Rru0kR.gif,,,0,0,1,1,1,1,1,1
Chin Ups,Body Weight,Calisthenics,Pull,Compound,"Arms,Back","Lats,Biceps",,https://1.bp.blogspot.com/-5-KRJJSC4gg/WRmBi30gCgI/AAAAAAAAAHg/BNQA83Jc_aQnTj1mEqM61Hm5fBWEjo5gwCLcB/s1600/chinup.gif,,Same as pull ups,1,1,1,1,1,1,1,1
Hip Abduction,"Machine,Cables",Weight,Push,Isolation,Legs,Glutes,Outer Thigh,https://onlyhumanco.com/wp-content/uploads/2016/12/cable-abduction.gif,,,0,1,1,0,1,0,1,1
Hip Adduction,Machine,Weight,Push,Isolation,Legs,Inner Thigh,,https://www.sparkpeople.com/assets/exercises/Seated-Hip-Adduction-Machine.gif,,,0,1,1,0,1,0,1,1
Rowing Machine,Machine,Cardio,Cardio,Compound,Cardio,Cardio,Full Body,https://media.giphy.com/media/1figSjF4pYLhS/giphy.gif,,,1,1,1,0,0,1,1,0
Running/Jogging/Sprinting,Body Weight,Cardio,Cardio,Compound,Cardio,Cardio,"Quads,Glutes,Calves",https://media1.tenor.com/images/cd5126eff8572af57bd33219712337f7/tenor.gif?itemid=7780277,,Form is vital (as well as gear) to avoiding lasting damage,1,1,1,0,0,1,1,0
Cycling,Machine,Cardio,Cardio,Compound,Cardio,Cardio,"Quads,Glutes,Calves",,,,1,1,1,0,0,1,1,0
